SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
CTAN,Checker-throated Antwren,Epinecrophylla fulviventris,EPIFUL,Passeriformes,Thamnophilidae,
CHET,Cherrie's Tanager,Ramphocelus costaricensis,RAMCOS,Passeriformes,Thraupidae,
CHMU,Chestnut Munia,Lonchura atricapilla,LONATR,Passeriformes,Estrildidae,
CBAN,Chestnut-backed Antbird,Myrmeciza exsul,MYREXS,Passeriformes,Thamnophilidae,
CBCH,Chestnut-backed Chickadee,Poecile rufescens,POERUF,Passeriformes,Paridae,
CBCU,Chestnut-bellied Cuckoo,Coccyzus pluvialis,COCPLU,Cuculiformes,Cuculidae,Cuculinae
CBSA,Chestnut-bellied Sandgrouse,Pterocles exustus,PTEEXU,Pteroclidiformes,Pteroclidae,
CCBF,Chestnut-capped Brush-Finch,Arremon brunneinucha,ARRBRU,Passeriformes,Emberizidae,
CCLO,Chestnut-collared Longspur,Calcarius ornatus,CALORN,Passeriformes,Calcariidae,
CCSW,Chestnut-collared Swift,Streptoprocne rutila,STRRUT,Apodiformes,Apodidae,Cypseloidinae
CCOW,Chestnut-colored Woodpecker,Celeus castaneus,CELCAS,Piciformes,Picidae,Picinae
CFMA,Chestnut-fronted Macaw,Ara severus,ARASEV,Psittaciformes,Psittacidae,Arinae
CHOR,Chestnut-headed Oropendola,Psarocolius wagleri,PSAWAG,Passeriformes,Icteridae,
CSSV,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,VIRMEL,Passeriformes,Vireonidae,
CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,SETPEN,Passeriformes,Parulidae,
CHRA,Chihuahuan Raven,Corvus cryptoleucus,CORCRY,Passeriformes,Corvidae,
CHSW,Chimney Swift,Chaetura pelagica,CHAPEL,Apodiformes,Apodidae,Chaeturinae
CHEG,Chinese Egret,Egretta eulophotes,EGREUL,Pelecaniformes,Ardeidae,
CHPH,Chinese Pond-Heron,Ardeola bacchus,ARDBAC,Pelecaniformes,Ardeidae,
CHIS,Chinese Sparrowhawk,Accipiter soloensis,ACCSOL,Accipitriformes,Accipitridae,Accipitrinae
CHSP,Chipping Sparrow,Spizella passerina,SPIPAS,Passeriformes,Emberizidae,
CHQD,Chiriqui Quail-Dove,Geotrygon chiriquensis,GEOCHI,Columbiformes,Columbidae,
CHOT,Choco Tapaculo,Scytalopus chocoensis,SCYCHO,Passeriformes,Rhinocryptidae,
CHTI,Choco Tinamou,Crypturellus kerriae,CRYKER,Tinamiformes,Tinamidae,
CHSH,Christmas Shearwater,Puffinus nativitatis,PUFNAT,Procellariiformes,Procellariidae,
CWWI,Chuck-will's-widow,Antrostomus carolinensis,ANTCAR,Caprimulgiformes,Caprimulgidae,Caprimulginae
CHUK,Chukar,Alectoris chukar,ALECHU,Galliformes,Phasianidae,Phasianinae
CIRB,Cinereous Becard,Pachyramphus rufus,PACRUF,Passeriformes,Tityridae,
CIMB,Cinnamon Becard,Pachyramphus cinnamomeus,PACCIN,Passeriformes,Tityridae,
CIHU,Cinnamon Hummingbird,Amazilia rutila,AMARUT,Apodiformes,Trochilidae,Trochilinae
CITE,Cinnamon Teal,Anas cyanoptera,ANACYA,Anseriformes,Anatidae,Anatinae
CIWO,Cinnamon Woodpecker,Celeus loricatus,CELLOR,Piciformes,Picidae,Picinae
CBFL,Cinnamon-bellied Flowerpiercer,Diglossa baritula,DIGBAR,Passeriformes,Emberizidae,
CTSP,Cinnamon-tailed Sparrow,Peucaea sumichrasti,PEUSUM,Passeriformes,Emberizidae,
CITR,Citreoline Trogon,Trogon citreolus,TROCIT,Trogoniformes,Trogonidae,Trogoninae
CIWA,Citrine Wagtail,Motacilla citreola,MOTCIT,Passeriformes,Motacillidae,
CLRA,Clapper Rail,Rallus longirostris,RALLON,Gruiformes,Rallidae,
CLWR,Clarion Wren,Troglodytes tanneri,TROTAN,Passeriformes,Troglodytidae,
CLGR,Clark's Grebe,Aechmophorus clarkii,AECCLA,Podicipediformes,Podicipedidae,
CLNU,Clark's Nutcracker,Nucifraga columbiana,NUCCOL,Passeriformes,Corvidae,
CCSP,Clay-colored Sparrow,Spizella pallida,SPIPAL,Passeriformes,Emberizidae,
CCTH,Clay-colored Thrush,Turdus grayi,TURGRA,Passeriformes,Turdidae,
CLSW,Cliff Swallow,Petrochelidon pyrrhonota,PETPYR,Passeriformes,Hirundinidae,Hirundininae
COCT,Cocoa Thrush,Turdus fumigatus,TURFUM,Passeriformes,Turdidae,
COWO,Cocoa Woodcreeper,Xiphorhynchus susurrans,XIPSUS,Passeriformes,Furnariidae,Dendrocolaptinae
COHE,Cocoi Heron,Ardea cocoi,ARDCOC,Pelecaniformes,Ardeidae,
COCC,Cocos Cuckoo,Coccyzus ferrugineus,COCFER,Cuculiformes,Cuculidae,Cuculinae
COFI,Cocos Finch,Pinaroloxias inornata,PININO,Passeriformes,Emberizidae,
COCF,Cocos Flycatcher,Nesotriccus ridgwayi,NESRID,Passeriformes,Tyrannidae,Elaeniinae
CPYO,Colima Pygmy-Owl,Glaucidium palmarum,GLAPAL,Strigiformes,Strigidae,
COLW,Colima Warbler,Oreothlypis crissalis,ORECRI,Passeriformes,Parulidae,
COAR,Collared Aracari,Pteroglossus torquatus,PTETOR,Piciformes,Ramphastidae,Ramphastinae
COFF,Collared Forest-Falcon,Micrastur semitorquatus,MICSEM,Falconiformes,Falconidae,Micrasturinae
COPL,Collared Plover,Charadrius collaris,CHACOL,Charadriiformes,Charadriidae,Charadriinae
COPR,Collared Pratincole,Glareola pratincola,GLAPRA,Charadriiformes,Glareolidae,Glareolinae
COLR,Collared Redstart,Myioborus torquatus,MYITOR,Passeriformes,Parulidae,
COTO,Collared Towhee,Pipilo ocai,PIPOCA,Passeriformes,Emberizidae,
COTR,Collared Trogon,Trogon collaris,TROCOL,Trogoniformes,Trogonidae,Trogoninae
COLC,Colombian Crake,Neocrex colombiana,NEOCOL,Gruiformes,Rallidae,
CODU,Comb Duck,Sarkidiornis melanotos,SARMEL,Anseriformes,Anatidae,Tadorninae
COBH,Common Black-Hawk,Buteogallus anthracinus,BUTANT,Accipitriformes,Accipitridae,Accipitrinae
COBT,Common Bush-Tanager,Chlorospingus ophthalmicus,CHLOPH,Passeriformes,Emberizidae,
COCH,Common Chaffinch,Fringilla coelebs,FRICOE,Passeriformes,Fringillidae,Fringillinae
COMC,Common Crane,Grus grus,GRUGRU,Gruiformes,Gruidae,Gruinae
COCU,Common Cuckoo,Cuculus canorus,CUCCAN,Cuculiformes,Cuculidae,Cuculinae
COEI,Common Eider,Somateria mollissima,SOMMOL,Anseriformes,Anatidae,Anatinae
COGA,Common Gallinule,Gallinula galeata,GALGAT,Gruiformes,Rallidae,
COGO,Common Goldeneye,Bucephala clangula,BUCCLA,Anseriformes,Anatidae,Anatinae
COGR,Common Grackle,Quiscalus quiscula,QUIQUI,Passeriformes,Icteridae,
COMG,Common Greenshank,Tringa nebularia,TRINEB,Charadriiformes,Scolopacidae,Scolopacinae
COGD,Common Ground-Dove,Columbina passerina,COLPAS,Columbiformes,Columbidae,
COHM,Common House-Martin,Delichon urbicum,DELURB,Passeriformes,Hirundinidae,Hirundininae
COLO,Common Loon,Gavia immer,GAVIMM,Gaviiformes,Gaviidae,
COME,Common Merganser,Mergus merganser,MERMER,Anseriformes,Anatidae,Anatinae
COMU,Common Murre,Uria aalge,URIAAL,Charadriiformes,Alcidae,
COMY,Common Myna,Acridotheres tristis,ACRTRI,Passeriformes,Sturnidae,
CONI,Common Nighthawk,Chordeiles minor,CHOMIN,Caprimulgiformes,Caprimulgidae,Chordeilinae
COPA,Common Pauraque,Nyctidromus albicollis,NYCALB,Caprimulgiformes,Caprimulgidae,Caprimulginae
COMP,Common Pochard,Aythya ferina,AYTFER,Anseriformes,Anatidae,Anatinae
COPO,Common Poorwill,Phalaenoptilus nuttallii,PHANUT,Caprimulgiformes,Caprimulgidae,Caprimulginae
CPOT,Common Potoo,Nyctibius griseus,NYCGRI,Caprimulgiformes,Nyctibiidae,
CORA,Common Raven,Corvus corax,CORCOR,Passeriformes,Corvidae,
CORE,Common Redpoll,Acanthis flammea,ACAFLA,Passeriformes,Fringillidae,Carduelinae
COMR,Common Redshank,Tringa totanus,TRITOT,Charadriiformes,Scolopacidae,Scolopacinae
CRPL,Common Ringed Plover,Charadrius hiaticula,CHAHIA,Charadriiformes,Charadriidae,Charadriinae
CORO,Common Rosefinch,Carpodacus erythrinus,CARERY,Passeriformes,Fringillidae,Carduelinae
COSA,Common Sandpiper,Actitis hypoleucos,ACTHYP,Charadriiformes,Scolopacidae,Scolopacinae
COSN,Common Snipe,Gallinago gallinago,GALGAN,Charadriiformes,Scolopacidae,Scolopacinae
COSW,Common Swift,Apus apus,APUAPU,Apodiformes,Apodidae,Apodinae
COTE,Common Tern,Sterna hirundo,STEHIR,Charadriiformes,Laridae,Sterninae
COTF,Common Tody-Flycatcher,Todirostrum cinereum,TODCIN,Passeriformes,Tyrannidae,Platyrinchinae
COMW,Common Waxbill,Estrilda astrild,ESTAST,Passeriformes,Estrildidae,
COYE,Common Yellowthroat,Geothlypis trichas,GEOTRI,Passeriformes,Parulidae,
CHRE,Common/Hoary Redpoll,Acanthis flamm./hornemanni,ACAFLH,Passeriformes,Fringillidae,Carduelinae
CONW,Connecticut Warbler,Oporornis agilis,OPOAGI,Passeriformes,Parulidae,
COPE,Cook's Petrel,Pterodroma cookii,PTECOO,Procellariiformes,Procellariidae,
COHA,Cooper's Hawk,Accipiter cooperii,ACCCOO,Accipitriformes,Accipitridae,Accipitrinae
CHEM,Coppery-headed Emerald,Elvira cupreiceps,ELVCUP,Apodiformes,Trochilidae,Trochilinae
COFL,Cordilleran Flycatcher,Empidonax occidentalis,EMPOCC,Passeriformes,Tyrannidae,Fluvicolinae
CORC,Corn Crake,Crex crex,CRECRE,Gruiformes,Rallidae,
COSH,Cory's Shearwater,Calonectris diomedea,CALDIO,Procellariiformes,Procellariidae,
CRBF,Costa Rican Brush-Finch,Arremon costaricensis,ARRCOS,Passeriformes,Emberizidae,
CRPO,Costa Rican Pygmy-Owl,Glaucidium costaricanum,GLACOS,Strigiformes,Strigidae,
CRSW,Costa Rican Swift,Chaetura fumosa,CHAFUM,Apodiformes,Apodidae,Chaeturinae
COHU,Costa's Hummingbird,Calypte costae,CALCOS,Apodiformes,Trochilidae,Trochilinae
COKI,Couch's Kingbird,Tyrannus couchii,TYRCOU,Passeriformes,Tyrannidae,Tyranninae
COEM,Cozumel Emerald,Chlorostilbon forficatus,CHLFOR,Apodiformes,Trochilidae,Trochilinae
COZT,Cozumel Thrasher,Toxostoma guttatum,TOXGUT,Passeriformes,Mimidae,
COVI,Cozumel Vireo,Vireo bairdi,VIRBAI,Passeriformes,Vireonidae,
CRHA,Crane Hawk,Geranospiza caerulescens,GERCAE,Accipitriformes,Accipitridae,Accipitrinae
CRMU,Craveri's Murrelet,Synthliboramphus craveri,SYNCRA,Charadriiformes,Alcidae,
CCWA,Crescent-chested Warbler,Oreothlypis superciliosa,ORESUP,Passeriformes,Parulidae,
CRAU,Crested Auklet,Aethia cristatella,AETCRI,Charadriiformes,Alcidae,
CRBO,Crested Bobwhite,Colinus cristatus,COLCRI,Galliformes,Odontophoridae,
CRCA,Crested Caracara,Caracara cheriway,CARCHE,Falconiformes,Falconidae,Caracarinae
CREA,Crested Eagle,Morphnus guianensis,MORGUI,Accipitriformes,Accipitridae,Accipitrinae
CRGU,Crested Guan,Penelope purpurascens,PENPUR,Galliformes,Cracidae,
CROR,Crested Oropendola,Psarocolius decumanus,PSADEC,Passeriformes,Icteridae,
CROW,Crested Owl,Lophostrix cristata,LOPCRI,Strigiformes,Strigidae,
CRQD,Crested Quail-Dove,Geotrygon versicolor,GEOVES,Columbiformes,Columbidae,
CBTA,Crimson-backed Tanager,Ramphocelus dimidiatus,RAMDIM,Passeriformes,Thraupidae,
CBWO,Crimson-bellied Woodpecker,Campephilus haematogaster,CAMHAE,Piciformes,Picidae,Picinae
CCGR,Crimson-collared Grosbeak,Rhodothraupis celaeno,RHOCEL,Passeriformes,Cardinalidae,
CCTA,Crimson-collared Tanager,Ramphocelus sanguinolentus,RAMSAN,Passeriformes,Thraupidae,
CCRW,Crimson-crested Woodpecker,Campephilus melanoleucos,CAMMEL,Piciformes,Picidae,Picinae
CFPA,Crimson-fronted Parakeet,Aratinga finschi,ARAFIN,Psittaciformes,Psittacidae,Arinae
CRTH,Crissal Thrasher,Toxostoma crissale,TOXCRI,Passeriformes,Mimidae,
CSFL,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,EMPAUR,Passeriformes,Tyrannidae,Tyranninae
CUBL,Cuban Blackbird,Dives atroviolaceus,DIVATR,Passeriformes,Icteridae,
CUBH,Cuban Black-Hawk,Buteogallus gundlachii,BUTGUN,Accipitriformes,Accipitridae,Accipitrinae
CUBU,Cuban Bullfinch,Melopyrrha nigra,MELNIG,Passeriformes,Emberizidae,
CUCR,Cuban Crow,Corvus nasicus,CORNAS,Passeriformes,Corvidae,
CUEM,Cuban Emerald,Chlorostilbon ricordii,CHLRIC,Apodiformes,Trochilidae,Trochilinae
CUGN,Cuban Gnatcatcher,Polioptila lembeyei,POLLEM,Passeriformes,Polioptilidae,
CUGR,Cuban Grassquit,Tiaris canorus,TIACAN,Passeriformes,Emberizidae,
CGWO,Cuban Green Woodpecker,Xiphidiopicus percussus,XIPPER,Piciformes,Picidae,Picinae
CUBM,Cuban Macaw,Ara tricolor,ARATRI,Psittaciformes,Psittacidae,Arinae
CUMA,Cuban Martin,Progne cryptoleuca,PROCRY,Passeriformes,Hirundinidae,Hirundininae
CUOR,Cuban Oriole,Icterus melanopsis,ICTMEL,Passeriformes,Icteridae,
CPAK,Cuban Parakeet,Aratinga euops,ARAEUO,Psittaciformes,Psittacidae,Arinae
CPAT,Cuban Parrot,Amazona leucocephala,AMALEU,Psittaciformes,Psittacidae,Arinae
CUPE,Cuban Pewee,Contopus caribaeus,CONCAB,Passeriformes,Tyrannidae,Fluvicolinae
CUPO,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,Strigiformes,Strigidae,
CUSO,Cuban Solitaire,Myadestes elisabeth,MYAELI,Passeriformes,Turdidae,
CUTO,Cuban Tody,Todus multicolor,TODMUL,Coraciiformes,Todidae,
CUTR,Cuban Trogon,Priotelus temnurus,PRITEM,Trogoniformes,Trogonidae,Trogoninae
CUVI,Cuban Vireo,Vireo gundlachii,VIRGUN,Passeriformes,Vireonidae,
CUSA,Curlew Sandpiper,Calidris ferruginea,CALFER,Charadriiformes,Scolopacidae,Scolopacinae
CBTH,Curve-billed Thrasher,Toxostoma curvirostre,TOXCUR,Passeriformes,Mimidae,
DAPE,Dark Pewee,Contopus lugubris,CONLUG,Passeriformes,Tyrannidae,Fluvicolinae
DBCU,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,Cuculiformes,Cuculidae,Cuculinae
DEJU,Dark-eyed Junco,Junco hyemalis,JUNHYE,Passeriformes,Emberizidae,
DSFL,Dark-sided Flycatcher,Muscicapa sibirica,MUSSIB,Passeriformes,Muscicapidae,
DICK,Dickcissel,Spiza americana,SPIAME,Passeriformes,Cardinalidae,
DWAN,Dot-winged Antwren,Microrhopias quixensis,MICQUI,Passeriformes,Thamnophilidae,
DBGR,Double-banded Graytail,Xenerpestes minlosi,XENMIL,Passeriformes,Furnariidae,Furnariinae
DCCO,Double-crested Cormorant,Phalacrocorax auritus,PHAAUT,Suliformes,Phalacrocoracidae,
DSTK,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,Charadriiformes,Burhinidae,
DTKI,Double-toothed Kite,Harpagus bidentatus,HARBID,Accipitriformes,Accipitridae,Accipitrinae
DOVE,Dovekie,Alle alle,ALLALL,Charadriiformes,Alcidae,
DOWO,Downy Woodpecker,Picoides pubescens,PICPUB,Piciformes,Picidae,Picinae
DMAN,Dull-mantled Antbird,Myrmeciza laemosticta,MYRLAE,Passeriformes,Thamnophilidae,
DUNL,Dunlin,Calidris alpina,CALALP,Charadriiformes,Scolopacidae,Scolopacinae
DUAN,Dusky Antbird,Cercomacra tyrannina,CERTYR,Passeriformes,Thamnophilidae,
DUFL,Dusky Flycatcher,Empidonax oberholseri,EMPOBE,Passeriformes,Tyrannidae,Fluvicolinae
DUGR,Dusky Grouse,Dendragapus obscurus,DENOBS,Galliformes,Phasianidae,Tetraoninae
DUHU,Dusky Hummingbird,Cynanthus sordidus,CYNSOR,Apodiformes,Trochilidae,Trochilinae
DUNI,Dusky Nightjar,Antrostomus saturatus,ANTSAT,Caprimulgiformes,Caprimulgidae,Caprimulginae
DUSS,Dusky Seaside-Sparrow,Ammodramus m. nigrescens,AMMMNI,Passeriformes,Emberizidae,
DUTH,Dusky Thrush,Turdus naumanni,TURNAU,Passeriformes,Turdidae,
DUWA,Dusky Warbler,Phylloscopus fuscatus,PHYFUS,Passeriformes,Phylloscopidae,
DBJA,Dusky-backed Jacamar,Brachygalba salmoni,BRASAL,Piciformes,Galbulidae,
DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,MYITUB,Passeriformes,Tyrannidae,Tyranninae
DFTA,Dusky-faced Tanager,Mitrospingus cassinii,MITCAS,Passeriformes,Thraupidae,
DWJA,Dwarf Jay,Cyanolyca nana,CYANAN,Passeriformes,Corvidae,
DWVI,Dwarf Vireo,Vireo nelsoni,VIRNEL,Passeriformes,Vireonidae,
EADO,Eared Dove,Zenaida auriculata,ZENAUC,Columbiformes,Columbidae,
EAGR,Eared Grebe,Podiceps nigricollis,PODNIG,Podicipediformes,Podicipedidae,
EAPO,Eared Poorwill,Nyctiphrynus mcleodii,NYCMCL,Caprimulgiformes,Caprimulgidae,Caprimulginae
EAQU,Eared Quetzal,Euptilotis neoxenus,EUPNEO,Trogoniformes,Trogonidae,Trogoninae
EABL,Eastern Bluebird,Sialia sialis,SIASIA,Passeriformes,Turdidae,
EACT,Eastern Chat-Tanager,Calyptophilus frugivorus,CALFRU,Passeriformes,Thraupidae,
EAKI,Eastern Kingbird,Tyrannus tyrannus,TYRTYR,Passeriformes,Tyrannidae,Tyranninae
EAME,Eastern Meadowlark,Sturnella magna,STUMAG,Passeriformes,Icteridae,
EAPH,Eastern Phoebe,Sayornis phoebe,SAYPHO,Passeriformes,Tyrannidae,Fluvicolinae
EASO,Eastern Screech-Owl,Megascops asio,MEGASI,Strigiformes,Strigidae,
ESBD,Eastern Spot-billed Duck,Anas zonorhyncha,ANAZON,Anseriformes,Anatidae,Anatinae
EATO,Eastern Towhee,Pipilo erythrophthalmus,PIPERP,Passeriformes,Emberizidae,
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,ANTVOC,Caprimulgiformes,Caprimulgidae,Caprimulginae
EWCS,Eastern White-crowned Sparrow,Zonotrichia l. leucophrys,ZONLLE,Passeriformes,Emberizidae,
EAWP,Eastern Wood-Pewee,Contopus virens,CONVIR,Passeriformes,Tyrannidae,Fluvicolinae
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,MOTTSC,Passeriformes,Motacillidae,
ELEU,Elegant Euphonia,Euphonia elegantissima,EUPELE,Passeriformes,Fringillidae,Euphoniinae
ELQU,Elegant Quail,Callipepla douglasii,CALDOU,Galliformes,Odontophoridae,
ELTE,Elegant Tern,Thalasseus elegans,THAELE,Charadriiformes,Laridae,Sterninae
ELTR,Elegant Trogon,Trogon elegans,TROELE,Trogoniformes,Trogonidae,Trogoninae
ELOW,Elf Owl,Micrathene whitneyi,MICWHI,Strigiformes,Strigidae,
EWWA,Elfin-woods Warbler,Setophaga angelae,SETANG,Passeriformes,Parulidae,
EMTA,Emerald Tanager,Tangara florida,TANFLO,Passeriformes,Thraupidae,
EMTO,Emerald Toucanet,Aulacorhynchus prasinus,AULPRA,Piciformes,Ramphastidae,Ramphastinae
ECHU,Emerald-chinned Hummingbird,Abeillia abeillei,ABEABE,Apodiformes,Trochilidae,Trochilinae
EMGO,Emperor Goose,Chen canagica,CHECAN,Anseriformes,Anatidae,Anserinae
ERFR,Erckel's Francolin,Francolinus erckelii,FRAERC,Galliformes,Phasianidae,Phasianinae
ESCU,Eskimo Curlew,Numenius borealis,NUMBOR,Charadriiformes,Scolopacidae,Scolopacinae
EUFL,Euler's Flycatcher,Lathrotriccus euleri,LATEUL,Passeriformes,Tyrannidae,Fluvicolinae
EUBL,Eurasian Blackbird,Turdus merula,TURMER,Passeriformes,Turdidae,
EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,PYRPYH,Passeriformes,Fringillidae,Carduelinae
EUCD,Eurasian Collared-Dove,Streptopelia decaocto,STRDEC,Columbiformes,Columbidae,
EUCO,Eurasian Coot,Fulica atra,FULATR,Gruiformes,Rallidae,
EUCU,Eurasian Curlew,Numenius arquata,NUMARQ,Charadriiformes,Scolopacidae,Scolopacinae
EUDO,Eurasian Dotterel,Charadrius morinellus,CHAMOR,Charadriiformes,Charadriidae,Charadriinae
EGWT,Eurasian Green-winged Teal,Anas c. crecca,ANACCR,Anseriformes,Anatidae,Anatinae
EHOB,Eurasian Hobby,Falco subbuteo,FALSUB,Falconiformes,Falconidae,Falconinae
EHOO,Eurasian Hoopoe,Upupa epops,UPUEPO,Upupiformes,Upupidae,
EUJA,Eurasian Jackdaw,Corvus monedula,CORMON,Passeriformes,Corvidae,
EUKE,Eurasian Kestrel,Falco tinnunculus,FALTIN,Falconiformes,Falconidae,Falconinae
EUOY,Eurasian Oystercatcher,Haematopus ostralegus,HAEOST,Charadriiformes,Haematopodidae,
EUSI,Eurasian Siskin,Spinus spinus,SPISPI,Passeriformes,Fringillidae,Carduelinae
EURS,Eurasian Spoonbill,Platalea leucorodia,PLALEU,Pelecaniformes,Threskiornithidae,Plataleinae
ETSP,Eurasian Tree Sparrow,Passer montanus,PASMON,Passeriformes,Passeridae,
EUWI,Eurasian Wigeon,Anas penelope,ANAPEN,Anseriformes,Anatidae,Anatinae
EUWO,Eurasian Woodcock,Scolopax rusticola,SCORUS,Charadriiformes,Scolopacidae,Scolopacinae
EUWR,Eurasian Wryneck,Jynx torquilla,JYNTOR,Piciformes,Picidae,Jynginae
EUGP,European Golden-Plover,Pluvialis apricaria,PLUAPR,Charadriiformes,Charadriidae,Charadriinae
EUGO,European Goldfinch,Carduelis carduelis,CARCAU,Passeriformes,Fringillidae,Carduelinae
EUST,European Starling,Sturnus vulgaris,STUVUL,Passeriformes,Sturnidae,
EUSP,European Storm-Petrel,Hydrobates pelagicus,HYDPEL,Procellariiformes,Hydrobatidae,
EUTD,European Turtle-Dove,Streptopelia turtur,STRTUR,Columbiformes,Columbidae,
EVGR,Evening Grosbeak,Coccothraustes vespertinus,COCVES,Passeriformes,Fringillidae,Carduelinae
EYTH,Eyebrowed Thrush,Turdus obscurus,TUROBC,Passeriformes,Turdidae,
ERFL,Eye-ringed Flatbill,Rhynchocyclus brevirostris,RHYBRE,Passeriformes,Tyrannidae,Platyrinchinae
FADU,Falcated Duck,Anas falcata,ANAFAL,Anseriformes,Anatidae,Anatinae
FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,BASLAC,Passeriformes,Parulidae,
FECU,Far Eastern Curlew,Numenius madagascariensis,NUMMAD,Charadriiformes,Scolopacidae,Scolopacinae
FAAN,Fasciated Antshrike,Cymbilaimus lineatus,CYMLIN,Passeriformes,Thamnophilidae,
FTHE,Fasciated Tiger-Heron,Tigrisoma fasciatum,TIGFAS,Pelecaniformes,Ardeidae,
FEFL,Fernandina's Flicker,Colaptes fernandinae,COLFER,Piciformes,Picidae,Picinae
FEHA,Ferruginous Hawk,Buteo regalis,BUTREG,Accipitriformes,Accipitridae,Accipitrinae
FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum,GLABRA,Strigiformes,Strigidae,
FISP,Field Sparrow,Spizella pusilla,SPIPUS,Passeriformes,Emberizidae,
FIEL,Fieldfare,Turdus pilaris,TURPIL,Passeriformes,Turdidae,
FBAR,Fiery-billed Aracari,Pteroglossus frantzii,PTEFRA,Piciformes,Ramphastidae,Ramphastinae
FTHU,Fiery-throated Hummingbird,Panterpe insignis,PANINS,Apodiformes,Trochilidae,Trochilinae
FICR,Fish Crow,Corvus ossifragus,COROSS,Passeriformes,Corvidae,
FSSP,Five-striped Sparrow,Amphispiza quinquestriata,AMPQUI,Passeriformes,Emberizidae,
FCTA,Flame-colored Tanager,Piranga bidentata,PIRBID,Passeriformes,Cardinalidae,
FRTA,Flame-rumped Tanager,Ramphocelus flammigerus,RAMFLA,Passeriformes,Thraupidae,
FTHW,Flame-throated Warbler,Oreothlypis gutturalis,OREGUT,Passeriformes,Parulidae,
FLFL,Flammulated Flycatcher,Deltarhynchus flammulatus,DELFLA,Passeriformes,Tyrannidae,Tyranninae
FLOW,Flammulated Owl,Otus flammeolus,OTUFLA,Strigiformes,Strigidae,
FBVI,Flat-billed Vireo,Vireo nanus,VIRNAN,Passeriformes,Vireonidae,
FFSH,Flesh-footed Shearwater,Puffinus carneipes,PUFCAR,Procellariiformes,Procellariidae,
FGSP,Florida Grasshopper Sparrow,Ammodramus s. floridanus,AMMSFL,Passeriformes,Emberizidae,
FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,APHCOE,Passeriformes,Corvidae,
FOEL,Forest Elaenia,Myiopagis gaimardii,MYIGAI,Passeriformes,Tyrannidae,Elaeniinae
FOTH,Forest Thrush,Turdus lherminieri,TURLHE,Passeriformes,Turdidae,
FTFL,Fork-tailed Flycatcher,Tyrannus savana,TYRSAV,Passeriformes,Tyrannidae,Tyranninae
FTSP,Fork-tailed Storm-Petrel,Oceanodroma furcata,OCEFUR,Procellariiformes,Hydrobatidae,
FTSW,Fork-tailed Swift,Apus pacificus,APUPAC,Apodiformes,Apodidae,Apodinae
FOTE,Forster's Tern,Sterna forsteri,STEFOR,Charadriiformes,Laridae,Sterninae
FOSP,Fox Sparrow,Passerella iliaca,PASILI,Passeriformes,Emberizidae,
FRGU,Franklin's Gull,Leucophaeus pipixcan,LEUPIP,Charadriiformes,Laridae,Larinae
FUOW,Fulvous Owl,Strix fulvescens,STRFUL,Strigiformes,Strigidae,
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC,Anseriformes,Anatidae,Dendrocygninae
FVEU,Fulvous-vented Euphonia,Euphonia fulvicrissa,EUPFUL,Passeriformes,Fringillidae,Euphoniinae
GADW,Gadwall,Anas strepera,ANASTR,Anseriformes,Anatidae,Anatinae
GAPE,Galapagos Petrel,Pterodroma phaeopygia,PTEPHA,Procellariiformes,Procellariidae,
GASH,Galapagos Shearwater,Puffinus subalaris,PUFSUB,Procellariiformes,Procellariidae,
GAQU,Gambel's Quail,Callipepla gambelii,CALGAM,Galliformes,Odontophoridae,
GWCS,Gambel's White-crowned Sparrow,Zonotrichia l. gambelii,ZONLGA,Passeriformes,Emberizidae,
GAEM,Garden Emerald,Chlorostilbon assimilis,CHLASS,Apodiformes,Trochilidae,Trochilinae
GARG,Garganey,Anas querquedula,ANAQUE,Anseriformes,Anatidae,Anatinae
GATH,Garnet-throated Hummingbird,Lamprolaima rhami,LAMRHA,Apodiformes,Trochilidae,Trochilinae
GATR,Gartered Trogon,Trogon caligatus,TROCAL,Trogoniformes,Trogonidae,Trogoninae
GICO,Giant Cowbird,Molothrus oryzivorus,MOLORY,Passeriformes,Icteridae,
GIKI,Giant Kingbird,Tyrannus cubensis,TYRCUB,Passeriformes,Tyrannidae,Tyranninae
GIWR,Giant Wren,Campylorhynchus chiapensis,CAMCHI,Passeriformes,Troglodytidae,
GIWO,Gila Woodpecker,Melanerpes uropygialis,MELURO,Piciformes,Picidae,Picinae
GIFL,Gilded Flicker,Colaptes chrysoides,COLCHR,Piciformes,Picidae,Picinae
