SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
YTVI,Yellow-throated Vireo,Vireo flavifrons,VIRFLF,Passeriformes,Vireonidae,
YTWA,Yellow-throated Warbler,Setophaga dominica,SETDOM,Passeriformes,Parulidae,
YWCA,Yellow-winged Cacique,Cacicus melanicterus,CACMEL,Passeriformes,Icteridae,
YWTA,Yellow-winged Tanager,Thraupis abbas,THRABB,Passeriformes,Thraupidae,
YWVI,Yellow-winged Vireo,Vireo carmioli,VIRCAM,Passeriformes,Vireonidae,
YUFL,Yucatan Flycatcher,Myiarchus yucatanensis,MYIYUC,Passeriformes,Tyrannidae,Tyranninae
YUJA,Yucatan Jay,Cyanocorax yucatanicus,CYAYUC,Passeriformes,Corvidae,
YUNI,Yucatan Nightjar,Antrostomus badius,ANTBAD,Caprimulgiformes,Caprimulgidae,Caprimulginae
YUPO,Yucatan Poorwill,Nyctiphrynus yucatanicus,NYCYUC,Caprimulgiformes,Caprimulgidae,Caprimulginae
YUVI,Yucatan Vireo,Vireo magister,VIRMAG,Passeriformes,Vireonidae,
YUWO,Yucatan Woodpecker,Melanerpes pygmaeus,MELPYG,Piciformes,Picidae,Picinae
YUWR,Yucatan Wren,Campylorhynchus yucatanicus,CAMYUC,Passeriformes,Troglodytidae,
ZARA,Zapata Rail,Cyanolimnas cerverai,CYACER,Gruiformes,Rallidae,
ZASP,Zapata Sparrow,Torreornis inexpectata,TORINE,Passeriformes,Emberizidae,
ZAWR,Zapata Wren,Ferminia cerverai,FERCER,Passeriformes,Troglodytidae,
ZEBD,Zebra Dove,Geopelia striata,GEOSTR,Columbiformes,Columbidae,
ZEND,Zenaida Dove,Zenaida aurita,ZENAUT,Columbiformes,Columbidae,
ZTHA,Zone-tailed Hawk,Buteo albonotatus,BUTALN,Accipitriformes,Accipitridae,Accipitrinae
